id	rank	name	authorship
51294208	Species	Eremophila victoriae	Buirchell & A.P.Br.
2913110	Species	Eremophila virens	C.A.Gardner
2902451	Species	Eremophila viscida	Endl.
2917319	Species	Eremophila viscimarginata	Chinnock
2905367	Species	Eremophila warnesii	Chinnock
2906865	Species	Eremophila weldii	F.Muell.
2898028	Species	Eremophila willsii	F.Muell.
2906333	Subspecies	Eremophila willsii subsp. integrifolia	(Ewart) Chinnock
2913300	Subspecies	Eremophila willsii subsp. willsii	
51294210	Species	Eremophila woodiae	Edginton
51294215	Species	Eremophila yinnetharrensis	Buirchell & A.P.Br.
7956134	Species	Eremophila youngii	F.Muell.
7956130	Subspecies	Eremophila youngii subsp. lepidota	Chinnock
2904689	Subspecies	Eremophila youngii subsp. youngii	
51250087	Genus	Euphrasia	L.
8486153	Species	Euphrasia alsa	F.Muell.
2900217	Species	Euphrasia amphisysepala	W.R.Barker
2897576	Species	Euphrasia arguta	R.Br.
2919783	Species	Euphrasia bella	S.T.Blake
2893703	Species	Euphrasia bowdeniae	W.R.Barker
2912102	Species	Euphrasia caudata	(J.H.Willis) W.R.Barker
2913734	Species	Euphrasia ciliolata	W.R.Barker
2906700	Species	Euphrasia collina	R.Br.
2916081	Subspecies	Euphrasia collina subsp. Dukes Marshes (A.Moscal 861)	Tas. Herbarium
2916655	Subspecies	Euphrasia collina subsp. Mt Wellington (A.C.Beauglehole 41150)	Vic. Herbarium
2918090	Subspecies	Euphrasia collina subsp. Northwest Tasmania (A.Visou 216)	Tas. Herbarium
2893847	Subspecies	Euphrasia collina subsp. collina	
2889530	Subspecies	Euphrasia collina subsp. deflexifolia	(Gand.) W.R.Barker
2890186	Subspecies	Euphrasia collina subsp. diemenica	(Spreng.) W.R.Barker
2921183	Subspecies	Euphrasia collina subsp. diversicolor	W.R.Barker
2907760	Subspecies	Euphrasia collina subsp. glacialis	(Wettst.) W.R.Barker
2886294	Subspecies	Euphrasia collina subsp. gunnii	(Du Rietz) W.R.Barker
2907518	Subspecies	Euphrasia collina subsp. lapidosa	W.R.Barker
2893240	Subspecies	Euphrasia collina subsp. muelleri	(Wettst.) W.R.Barker
2902275	Subspecies	Euphrasia collina subsp. nandewarensis	W.R.Barker
2910894	Subspecies	Euphrasia collina subsp. osbornii	W.R.Barker
2917860	Subspecies	Euphrasia collina subsp. paludosa	(R.Br.) W.R.Barker
2887883	Subspecies	Euphrasia collina subsp. speciosa	(R.Br.) W.R.Barker
2893449	Subspecies	Euphrasia collina subsp. tasmanica	(Gand.) W.R.Barker
2915789	Subspecies	Euphrasia collina subsp. tetragona	(R.Br.) W.R.Barker
2888264	Subspecies	Euphrasia collina subsp. trichocalycina	(Gand.) W.R.Barker
51250084	Species	Euphrasia crassiuscula	Gand.
2912911	Subspecies	Euphrasia crassiuscula subsp. crassiuscula	
2892762	Subspecies	Euphrasia crassiuscula subsp. eglandulosa	(J.H.Willis) W.R.Barker
2903437	Subspecies	Euphrasia crassiuscula subsp. glandulifera	W.R.Barker
2892829	Species	Euphrasia eichleri	W.R.Barker
2897571	Species	Euphrasia fragosa	W.R.Barker
2912574	Species	Euphrasia gibbsiae	Du Rietz
2908832	Subspecies	Euphrasia gibbsiae subsp. Mt Anne (A.M.Buchanan 5109)	Tas. Herbarium
2893253	Subspecies	Euphrasia gibbsiae subsp. Mt Field (W.R.Barker 1187)	Tas. Herbarium
2905954	Subspecies	Euphrasia gibbsiae subsp. comberi	(Du Rietz) W.R.Barker
2919376	Subspecies	Euphrasia gibbsiae subsp. discolor	W.R.Barker
2910483	Subspecies	Euphrasia gibbsiae subsp. gibbsiae	
2886836	Subspecies	Euphrasia gibbsiae subsp. kingii	(W.M.Curtis) W.R.Barker
2890483	Subspecies	Euphrasia gibbsiae subsp. microdonta	W.R.Barker
2889064	Subspecies	Euphrasia gibbsiae subsp. psilantherea	(F.Muell.) W.R.Barker
2906153	Subspecies	Euphrasia gibbsiae subsp. pulvinestris	W.R.Barker
2901987	Subspecies	Euphrasia gibbsiae subsp. subglabrifolia	(Du Rietz) W.R.Barker
2914175	Subspecies	Euphrasia gibbsiae subsp. wellingtonensis	W.R.Barker
2898019	Species	Euphrasia hookeri	Wettst.
2908341	Species	Euphrasia lasianthera	W.R.Barker
2899275	Species	Euphrasia orthocheila	W.R.Barker
2891774	Subspecies	Euphrasia orthocheila subsp. orthocheila	
2896857	Subspecies	Euphrasia orthocheila subsp. peraspera	W.R.Barker
2906800	Species	Euphrasia phragmostoma	W.R.Barker
2906503	Species	Euphrasia ramulosa	W.R.Barker
2895347	Species	Euphrasia ruptura	W.R.Barker
2903366	Species	Euphrasia scabra	R.Br.
2905452	Species	Euphrasia semipicta	W.R.Barker
2916761	Species	Euphrasia sp. Bivouac Bay (W.R.Barker 7626 et al.)	W.R.Barker
2895062	Species	Euphrasia striata	R.Br.
2913937	Genus	Glycocystis	Chinnock
2898667	Species	Glycocystis beckeri	(F.Muell.) Chinnock
2892648	Genus	Hebenstretia	L.
2887460	Species	Hebenstretia dentata	L.
2900986	Genus	Limosella	L.
2891260	Species	Limosella australis	R.Br.
2887012	Species	Limosella curdieana	F.Muell.
2907749	Varietas	Limosella curdieana var. Long-pedicelled (W.R.Barker 3577)	W.R.Barker
2915993	Species	Limosella granitica	W.R.Barker
2905581	Genus	Maurandya	Ortega
2888062	Species	Maurandya barclayana	Lindl.
2894882	Species	Maurandya scandens	(Cav.) Pers.
8767555	Genus	Myoporum	Banks & Sol. ex G.Forst.
7956805	Species	Myoporum acuminatum	R.Br.
2905487	Species	Myoporum bateae	F.Muell.
2890154	Species	Myoporum betcheanum	L.S.Sm.
7957252	Species	Myoporum boninense	Koidz.
7957248	Subspecies	Myoporum boninense subsp. australe	Chinnock
2907321	Species	Myoporum brevipes	Benth.
2898538	Species	Myoporum caprarioides	Benth.
2892610	Species	Myoporum cordifolium	(F.Muell.) Druce
2892280	Species	Myoporum floribundum	A.Cunn. ex Benth.
2904981	Species	Myoporum insulare	R.Br.
7957707	Species	Myoporum montanum	R.Br.
2903301	Species	Myoporum obscurum	Endl.
2908996	Species	Myoporum oppositifolium	R.Br.
2895572	Species	Myoporum parvifolium	R.Br.
2918557	Species	Myoporum petiolatum	Chinnock
2901145	Species	Myoporum platycarpum	R.Br.
2894157	Subspecies	Myoporum platycarpum subsp. perbellum	Chinnock
2912331	Subspecies	Myoporum platycarpum subsp. platycarpum	
2904841	Species	Myoporum sp. Tinaroo Range (V.K.Moriarty 302)	Qld Herbarium
2916281	Species	Myoporum tetrandrum	(Labill.) Domin
2889709	Species	Myoporum turbinatum	Chinnock
2889943	Species	Myoporum velutinum	Chinnock
2902964	Species	Myoporum viscosum	R.Br.
2914135	Genus	Nemesia	Vent.
2891459	Species	Nemesia strumosa	Benth.
2898391	Genus	Phyllopodium	Benth.
2897517	Species	Phyllopodium cordatum	(Thunb.) Hilliard
2912229	Genus	Polycarena	Benth.
2887227	Species	Polycarena rariflora	Benth.
2905526	Genus	Scrophularia	L.
2916827	Species	Scrophularia auriculata	L.
2887306	Species	Scrophularia nodosa	L.
2915061	Genus	Selago	L.
2914925	Species	Selago canescens	L.f.
2886501	Species	Selago corymbosa	L.
7027311	Genus	Verbascum	L.
2918685	Species	Verbascum blattaria	L.
2892131	Species	Verbascum creticum	(L.) Cav.
2921051	Species	Verbascum sinuatum	L.
7027305	Species	Verbascum thapsus	L.
